Year,Player,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV
2012,Justin Houston,1,32,0,32,6,1,0,1,4,0,10.0,66,53,13,13,18,1,8
2012,Terrell Suggs,0,0,0,0,4,0,0,0,0,0,2.0,22,17,5,3,5,0,4
2012,Derrick Johnson,0,0,0,0,4,4,0,0,0,0,2.0,124,109,15,12,5,0,8
2012,Stephen Tulloch,0,0,0,0,6,1,0,2,0,0,0.5,112,74,38,6,5,0,7
2012,Chad Greenway,1,3,0,3,4,0,0,2,0,0,3.0,148,98,50,7,5,0,13
2012,Luke Kuechly,2,22,0,25,7,0,0,3,9,0,1.0,164,103,61,12,1,0,8
2012,Lance Briggs,2,110,2,74,11,2,0,0,0,0,1.5,103,74,29,7,2,0,11
2012,London Fletcher,5,29,0,10,11,1,0,0,0,0,3.0,139,78,61,5,4,0,12
2012,Cameron Wake,0,0,0,0,1,3,0,0,0,0,15.0,53,38,15,13,33,0,17
2012,Daryl Washington,1,7,0,7,4,2,0,1,3,0,9.0,134,108,26,15,12,0,16
2013,Luke Kuechly,4,33,0,30,7,0,0,0,0,0,2.0,156,93,63,10,2,0,18
2013,Robert Mathis,0,0,0,0,1,10,0,0,0,0,19.5,59,44,15,15,21,1,15
2013,Terrell Suggs,0,0,0,0,0,0,0,1,0,0,10.0,80,47,33,13,19,0,12
2013,Patrick Willis,0,0,0,0,1,2,0,0,0,0,3.0,104,82,22,10,5,0,10
2013,Aldon Smith,0,0,0,0,0,1,0,0,0,0,8.5,34,29,5,11,18,0,5
2013,Lavonte David,5,87,0,32,10,2,0,1,0,0,7.0,145,107,38,21,13,1,15
2013,Tamba Hali,1,10,1,10,1,5,0,2,11,1,11.0,46,39,7,12,15,0,13
2013,NaVorro Bowman,2,93,1,89,8,6,0,2,0,0,5.0,145,120,25,9,5,0,19
2013,Vontaze Burfict,1,12,0,12,6,1,0,2,13,1,3.0,171,114,57,9,5,0,18
2013,DeMarcus Ware,1,0,0,0,2,0,0,1,0,0,6.0,40,28,12,9,12,0,5
2013,Justin Houston,0,0,0,0,4,1,0,2,0,0,11.0,44,41,3,11,15,0,9
2013,DeAndre Levy,6,76,1,66,15,0,0,0,0,0,0.0,118,85,33,8,3,0,10
2013,Derrick Johnson,2,44,0,41,6,0,0,2,11,0,4.5,107,95,12,12,10,0,11
