"","Player","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"90","Joe Flacco","90_BAL_QB","74_BAL_QB","19_BAL_QB","58_BAL_QB","97_BAL_QB",NA,NA,NA,NA,NA,NA
"91","Terrell Owens","91_CIN_WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Lance Briggs","92_CHI_LB","72_CHI_LB","83_CHI_LB",NA,NA,NA,NA,NA,NA,NA,NA
"93","Eric Berry","93_KC_S",NA,NA,"50_KC_S",NA,"55_KC_S","13_KC_S",NA,NA,NA,NA
"94","Frank Gore","94_SF_RB","28_SF_RB","32_SF_RB","46_SF_RB",NA,NA,NA,NA,NA,NA,NA
"95","Jon Beason","95_CAR_LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Nick Collins","96_GB_S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Shaun Phillips","97_LAC_LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Darren McFadden","98_LV_RB","60_LV_RB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Chad Clifton","99_GB_OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Donovan McNabb","100_WAS_QB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Jimmy Graham",NA,"14_NOR_TE",NA,"10_NOR_TE","31_NOR_TE",NA,NA,"89_SEA_TE",NA,NA,NA
"102","Justin Smith",NA,"17_SF_DE","29_SF_DE","69_SF_DE",NA,NA,NA,NA,NA,NA,NA
"103","LeSean McCoy",NA,"18_PHI_RB","45_PHI_RB","5_PHI_RB","29_PHI_RB","69_BUF_RB","27_BUF_RB","30_BUF_RB",NA,NA,NA
"104","Rob Gronkowski",NA,"21_NE_TE","25_NE_TE","41_NE_TE","10_NE_TE","9_NE_TE","23_NE_TE","15_NE_TE",NA,NA,NA
"105","Jason Pierre-Paul",NA,"24_NYG_DE","55_NYG_DE",NA,NA,NA,NA,NA,"65_TB_LB",NA,"59_TB_LB"
"106","Eli Manning",NA,"31_NYG_QB","43_NYG_QB",NA,NA,"47_NYG_QB",NA,NA,NA,NA,NA
"107","Matt Forte",NA,"33_CHI_RB",NA,"91_CHI_RB","48_CHI_RB","90_CHI_RB",NA,NA,NA,NA,NA
"108","Steve Smith",NA,"35_CAR_WR","84_CAR_WR",NA,"54_BAL_WR",NA,NA,NA,NA,NA,NA
"109","Victor Cruz",NA,"39_NYG_WR","58_NYG_WR",NA,NA,NA,NA,NA,NA,NA,NA
"110","Cam Newton",NA,"40_CAR_QB","46_CAR_QB","24_CAR_QB","73_CAR_QB","1_CAR_QB","44_CAR_QB","25_CAR_QB","87_CAR_QB",NA,NA
"111","Matthew Stafford",NA,"41_DET_QB","76_DET_QB","100_DET_QB",NA,NA,"31_DET_QB","31_DET_QB",NA,NA,NA
"112","Jason Peters",NA,"42_PHI_OT",NA,"67_PHI_OT","40_PHI_OT",NA,NA,NA,NA,NA,NA
"113","Mike Wallace",NA,"47_PIT_WR",NA,NA,NA,NA,NA,NA,NA,NA,NA
